concentrationgmuhfsoutheast,6
kmnumberuhflower,6
uhfwillowbrook,5
omeanppbuhfunion,30
clinton,71
nomeanppbcdhunts,42
concentrationgmcdcrown,2
tottenville,71
cityannual,28
concentrationgmuhffresh,6
infogeo,1
brooklyn,110
nomeanppbcdfordham,42
dyker,110
adultsuhfchelsea,30
nomeanppbcdbelmont,42
omeanppbcdjackson,15
inwood,110
concentrationgmuhfrockaways,6
concentrationgmuhfgreenwich,6
omeanppbcdfort,15
islandwinter,28
ridgeyear,2
traveledmillion,321
uhfchelsea,5
concentrationgmcdgreenpoint,2
childrenuhfchelsea,15
harlemwinter,56
nomeanppbcdbrownsville,42
soundview,110
childrenuhfgreenpoint,15
clintonannual,28
omeanppbuhfconey,30
cardiac,240
concentrationgmuhfsouth,6
concentrationgmcdmorris,2
forest,379
adultsuhfborough,30
adultsuhfcanarsie,30
adultsuhfstapleton,30
meanmcgmuhfport,42
cdannual,1652
nomeanppbcdclinton,42
omeanppbuhfwashington,30
nomeanppbcdelmhurst,42
concentrationgmuhfhigh,6
meanmcgmcdmidtown,42
meanmcgmcdqueens,42
omeanppbcdmorningside,15
toxics,406
departments,485
corona,110
nomeanppbcdborough,42
nomeanppbcitywidenew,42
nomeanppbuhflower,42
meanmcgmcdlong,42
uhfupper,10
nomeanppbuhfstapleton,42
neck,362
flatbushannual,56
mileuhfbensonhurst,9
harlemannual,56
meanmcgmcdtottenville,42
meanmcgmuhfupper,168
childrenuhffordham,15
childrenuhfborough,15
nomeanppbcdbushwick,42
childrenboroughbrooklyn,15
uhfrockaways,5
mileuhfsouthwest,9
emissionsnumber,288
fieldston,110
meanmcgmuhfnorthern,42
kmnumberuhfjamaica,6
childrenuhfdowntown,15
meanmcgmuhfchelseavillagewinter,14
adultsuhffordham,30
meanmcgmcdridgewood,42
omeanppbuhfnortheast,30
meanmcgmuhfpelham,84
mileuhfridgewood,9
meanmcgmuhfbayside,84
mileuhfwashington,9
nomeanppbcdwoodside,42
concentrationgmcdhighbridge,2
concentrationgmuhfpelham,6
uhfsoutheast,5
flatlandsyear,2
hillsannual,56
tottenvilleyear,1
omeanppbcdhighbridge,15
yorkwinter,56
nomeanppbuhfchelsea,42
nomeanppbuhfwillowbrooksummer,14
yorkannual,56
concentrationgmcdsunset,2
sunnyside,110
citywidenew,5
kmnumberuhfeast,18
concentrationgmcdriverdale,2
hillswinter,56
nomeanppbcdfinancial,42
meanmcgmuhfridgewood,84
meanmcgmuhfbedford,84
miles,963
omeanppbuhfdowntown,30
meanmcgmuhfsouthwest,84
adultsuhfdowntown,30
uhffordham,5
milecdwashington,9
childrenuhfbayside,15
nomeanppbcdupper,84
mileboroughstaten,9
ridge,181
nomeanppbuhfeast,252
clintonwinter,28
uhfwest,5
tremontsummer,42
milecdmorningside,9
nitrogen,5922
meanmcgmcdwashington,42
adultsboroughstaten,30
milecdflatlands,9
childrenuhfconey,15
meanmcgmcdmorris,42
concentrationgmcdsouth,6
childrenuhfunion,15
valuemessage,1
uhfgreenwich,5
meanmcgmcdhillcrest,42
age,2169
childrenuhfstapleton,15
nomeanppbboroughqueenssummer,14
concentrationgmuhflong,6
omeanppbcdpark,15
nomeanppbcdgreenwich,42
channel,110
sohosummer,42
omeanppbuhfsouthwest,30
islandsummer,42
uhfgreenpoint,5
meanmcgmuhfhunts,42
milecdborough,9
per,1977
milecdfordham,9
nomeanppbuhfgreenpointwinter,28
kmnumberuhfwilliamsburg,6
meanmcgmuhfgramercy,42
omeanppbcdhunts,15
tremontannual,28
adultsuhfport,30
meanmcgmuhffordham,84
childrenuhfhunts,15
bushwicksummer,84
milecdjamaica,9
mileboroughbronx,9
siwinter,56
nomeanppbuhfgramercy,42
concentrationgmcdwilliamsbridge,2
omeanppbcdflushing,15
chelsea,110
sheepshead,269
parkyear,4
uhfbayside,5
city,670
meanmcgmuhfborough,84
milecdparkchester,9
nomeanppbcdsheepshead,42
omeanppbcdmott,15
air,406
concentrationgmcdclinton,2
omeanppbcdsouth,45
milecdkingsbridge,9
concentrationgmcdmidtown,2
flatbushwinter,56
milecdjackson,9
concentrationgmuhfdowntown,6
concentrationgmuhffordham,6
omeanppbuhfrockawayssummer,28
concentrationgmcdfordham,2
mileuhfbedford,9
kmnumberuhfsunset,6
bayannual,56
omeanppbboroughbrooklynsummer,14
cdwinter,1652
periodstartdatedata,1
yorkyear,2
nomeanppbcdhillcrest,42
adultsuhfwillowbrook,30
omeanppbuhfcanarsie,30
harlemsummer,84
nomeanppbuhfflushing,84
kmnumberboroughstaten,6
uhfsouth,5
manhattanyear,2
omeanppbcdwoodside,15
milecdlong,9
concentrationgmboroughstaten,6
queenssummer,252
concentrationgmboroughmanhattan,6
meanmcgmuhfchelseavillagesummer,14
omeanppbuhfgreenwich,15
hamilton,110
milecdsheepshead,9
